serial,00bkg,01body,02cheeks,03eye,04beak,05face,06hat,07clothes,dna
4518,bkg06,body01,cheeks05,Eye19,Beak10,NONE,hat83,clothes60,bkg06--body01--cheeks05--Eye19--Beak10--NONE--hat83--clothes60
4519,bkg07,body01,cheeks1,Eye01,Beak05,face04,hat04,clothes04,bkg07--body01--cheeks1--Eye01--Beak05--face04--hat04--clothes04
4520,bkg07,body01,NONE,Eye21,Beak10,NONE,hat04,clothes01,bkg07--body01--NONE--Eye21--Beak10--NONE--hat04--clothes01
4521,bkg06,body01,cheeks1,Eye01,Beak07,face01,NONE,clothes11,bkg06--body01--cheeks1--Eye01--Beak07--face01--NONE--clothes11
4522,bkg02,body01,cheeks02,Eye11,Beak05,NONE,hat63,clothes12,bkg02--body01--cheeks02--Eye11--Beak05--NONE--hat63--clothes12
4523,bkg03,body01,cheeks11,Eye17,Beak01,NONE,hat54,clothes11,bkg03--body01--cheeks11--Eye17--Beak01--NONE--hat54--clothes11
4524,bkg07,body01,cheeks08,Eye04,Beak06,NONE,hat76,clothes27,bkg07--body01--cheeks08--Eye04--Beak06--NONE--hat76--clothes27
4525,bkg05,body01,cheeks04,Eye08,Beak13,NONE,hat27,clothes50,bkg05--body01--cheeks04--Eye08--Beak13--NONE--hat27--clothes50
4526,bkg06,body01,cheeks11,Eye11,Beak08,NONE,hat49,clothes34,bkg06--body01--cheeks11--Eye11--Beak08--NONE--hat49--clothes34
4527,bkg05,body01,cheeks12,Eye21,Beak04,NONE,hat39,clothes02,bkg05--body01--cheeks12--Eye21--Beak04--NONE--hat39--clothes02
4528,bkg03,body01,cheeks10,Eye08,Beak04,NONE,hat01,clothes72,bkg03--body01--cheeks10--Eye08--Beak04--NONE--hat01--clothes72
4529,bkg04,body01,cheeks06,Eye05,Beak02,NONE,hat17,NONE,bkg04--body01--cheeks06--Eye05--Beak02--NONE--hat17--NONE
4530,bkg05,body01,cheeks1,Eye25,Beak13,face01,hat58,clothes58,bkg05--body01--cheeks1--Eye25--Beak13--face01--hat58--clothes58
4531,bkg05,body01,NONE,Eye17,Beak08,NONE,hat53,clothes74,bkg05--body01--NONE--Eye17--Beak08--NONE--hat53--clothes74
4532,bkg01,body01,cheeks12,Eye25,Beak06,NONE,hat67,clothes54,bkg01--body01--cheeks12--Eye25--Beak06--NONE--hat67--clothes54
4533,bkg06,body01,cheeks05,Eye05,Beak01,face03,hat19,clothes07,bkg06--body01--cheeks05--Eye05--Beak01--face03--hat19--clothes07
4534,bkg01,body01,cheeks1,Eye10,Beak04,face06,hat75,clothes45,bkg01--body01--cheeks1--Eye10--Beak04--face06--hat75--clothes45
4535,bkg07,body01,NONE,Eye20,Beak03,face05,hat70,clothes74,bkg07--body01--NONE--Eye20--Beak03--face05--hat70--clothes74
4536,bkg07,body01,cheeks11,Eye10,Beak12,NONE,hat56,clothes12,bkg07--body01--cheeks11--Eye10--Beak12--NONE--hat56--clothes12
4537,bkg01,body01,cheeks04,Eye04,Beak01,NONE,hat21,clothes04,bkg01--body01--cheeks04--Eye04--Beak01--NONE--hat21--clothes04
4538,bkg04,body01,cheeks11,Eye18,Beak08,face01,hat49,clothes07,bkg04--body01--cheeks11--Eye18--Beak08--face01--hat49--clothes07
4539,bkg02,body01,cheeks05,Eye02,Beak11,face01,hat10,clothes34,bkg02--body01--cheeks05--Eye02--Beak11--face01--hat10--clothes34
4540,bkg05,body01,cheeks05,Eye06,Beak01,NONE,hat45,clothes14,bkg05--body01--cheeks05--Eye06--Beak01--NONE--hat45--clothes14
4541,bkg06,body01,cheeks05,Eye16,Beak03,face01,hat26,clothes77,bkg06--body01--cheeks05--Eye16--Beak03--face01--hat26--clothes77
4542,bkg03,body01,cheeks11,Eye23,Beak04,NONE,hat70,clothes08,bkg03--body01--cheeks11--Eye23--Beak04--NONE--hat70--clothes08
4543,bkg06,body01,cheeks13,Eye08,Beak08,NONE,hat24,clothes53,bkg06--body01--cheeks13--Eye08--Beak08--NONE--hat24--clothes53
4544,bkg06,body01,cheeks1,Eye12,Beak09,face10,NONE,clothes33,bkg06--body01--cheeks1--Eye12--Beak09--face10--NONE--clothes33
4545,bkg05,body01,cheeks12,Eye12,Beak09,NONE,hat76,clothes19,bkg05--body01--cheeks12--Eye12--Beak09--NONE--hat76--clothes19
4546,bkg02,body01,cheeks02,Eye08,Beak02,NONE,hat78,clothes57,bkg02--body01--cheeks02--Eye08--Beak02--NONE--hat78--clothes57
4547,bkg07,body01,cheeks08,Eye24,Beak06,NONE,hat45,clothes51,bkg07--body01--cheeks08--Eye24--Beak06--NONE--hat45--clothes51
4548,bkg07,body01,NONE,Eye04,Beak06,NONE,hat10,clothes49,bkg07--body01--NONE--Eye04--Beak06--NONE--hat10--clothes49
4549,bkg07,body01,cheeks06,Eye04,Beak05,face01,hat07,clothes80,bkg07--body01--cheeks06--Eye04--Beak05--face01--hat07--clothes80
4550,bkg04,body01,NONE,Eye01,Beak02,NONE,hat68,clothes31,bkg04--body01--NONE--Eye01--Beak02--NONE--hat68--clothes31
4551,bkg07,body01,cheeks07,Eye06,Beak08,NONE,hat82,clothes06,bkg07--body01--cheeks07--Eye06--Beak08--NONE--hat82--clothes06
4552,bkg07,body01,cheeks10,Eye21,Beak12,face05,hat08,clothes83,bkg07--body01--cheeks10--Eye21--Beak12--face05--hat08--clothes83
4553,bkg07,body01,cheeks13,Eye05,Beak07,NONE,hat76,clothes12,bkg07--body01--cheeks13--Eye05--Beak07--NONE--hat76--clothes12
4554,bkg05,body01,cheeks08,Eye10,Beak03,face01,hat14,clothes62,bkg05--body01--cheeks08--Eye10--Beak03--face01--hat14--clothes62
4555,bkg02,body01,cheeks04,Eye21,Beak03,NONE,hat41,clothes58,bkg02--body01--cheeks04--Eye21--Beak03--NONE--hat41--clothes58
4556,bkg04,body01,cheeks11,Eye05,Beak01,NONE,hat31,NONE,bkg04--body01--cheeks11--Eye05--Beak01--NONE--hat31--NONE
4557,bkg01,body01,cheeks12,Eye26,Beak12,NONE,hat55,NONE,bkg01--body01--cheeks12--Eye26--Beak12--NONE--hat55--NONE
4558,bkg02,body01,cheeks11,Eye03,Beak09,face04,hat76,clothes64,bkg02--body01--cheeks11--Eye03--Beak09--face04--hat76--clothes64
4559,bkg04,body01,cheeks10,Eye19,Beak09,face01,hat11,clothes38,bkg04--body01--cheeks10--Eye19--Beak09--face01--hat11--clothes38
4560,bkg04,body01,cheeks11,Eye02,Beak06,face03,NONE,clothes18,bkg04--body01--cheeks11--Eye02--Beak06--face03--NONE--clothes18
4561,bkg05,body01,cheeks11,Eye25,Beak01,face01,hat09,clothes07,bkg05--body01--cheeks11--Eye25--Beak01--face01--hat09--clothes07
4562,bkg07,body01,NONE,Eye29,Beak11,NONE,hat07,clothes05,bkg07--body01--NONE--Eye29--Beak11--NONE--hat07--clothes05
4563,bkg07,body01,cheeks05,Eye30,Beak13,face07,hat69,clothes13,bkg07--body01--cheeks05--Eye30--Beak13--face07--hat69--clothes13
4564,bkg07,body01,cheeks11,Eye06,Beak03,face01,hat13,NONE,bkg07--body01--cheeks11--Eye06--Beak03--face01--hat13--NONE
4565,bkg04,body01,NONE,Eye30,Beak13,NONE,NONE,clothes13,bkg04--body01--NONE--Eye30--Beak13--NONE--NONE--clothes13
4566,bkg04,body01,cheeks05,Eye26,Beak02,NONE,hat05,clothes51,bkg04--body01--cheeks05--Eye26--Beak02--NONE--hat05--clothes51
4567,bkg04,body01,cheeks05,Eye14,Beak12,NONE,hat83,clothes23,bkg04--body01--cheeks05--Eye14--Beak12--NONE--hat83--clothes23
4568,bkg04,body01,cheeks03,Eye11,Beak09,face07,hat39,clothes20,bkg04--body01--cheeks03--Eye11--Beak09--face07--hat39--clothes20
4569,bkg02,body01,cheeks10,Eye30,Beak04,NONE,hat56,clothes09,bkg02--body01--cheeks10--Eye30--Beak04--NONE--hat56--clothes09
4570,bkg05,body01,cheeks05,Eye04,Beak11,NONE,hat15,clothes10,bkg05--body01--cheeks05--Eye04--Beak11--NONE--hat15--clothes10
4571,bkg07,body01,NONE,Eye01,Beak01,NONE,hat25,clothes19,bkg07--body01--NONE--Eye01--Beak01--NONE--hat25--clothes19
4572,bkg03,body01,cheeks10,Eye12,Beak06,NONE,hat63,clothes45,bkg03--body01--cheeks10--Eye12--Beak06--NONE--hat63--clothes45
4573,bkg01,body01,NONE,Eye01,Beak02,NONE,hat08,clothes10,bkg01--body01--NONE--Eye01--Beak02--NONE--hat08--clothes10
4574,bkg07,body01,cheeks13,Eye05,Beak12,face06,NONE,clothes01,bkg07--body01--cheeks13--Eye05--Beak12--face06--NONE--clothes01
4575,bkg02,body01,cheeks03,Eye24,Beak04,NONE,hat02,clothes65,bkg02--body01--cheeks03--Eye24--Beak04--NONE--hat02--clothes65
4576,bkg04,body01,NONE,Eye12,Beak02,face01,hat62,clothes81,bkg04--body01--NONE--Eye12--Beak02--face01--hat62--clothes81
4577,bkg03,body01,cheeks10,Eye08,Beak04,NONE,hat01,clothes64,bkg03--body01--cheeks10--Eye08--Beak04--NONE--hat01--clothes64
4578,bkg01,body01,cheeks11,Eye07,Beak02,face01,hat56,clothes19,bkg01--body01--cheeks11--Eye07--Beak02--face01--hat56--clothes19
4579,bkg07,body01,cheeks13,Eye01,Beak04,face01,NONE,clothes62,bkg07--body01--cheeks13--Eye01--Beak04--face01--NONE--clothes62
4580,bkg04,body01,cheeks04,Eye05,Beak04,NONE,hat35,clothes74,bkg04--body01--cheeks04--Eye05--Beak04--NONE--hat35--clothes74
4581,bkg01,body01,cheeks13,Eye10,Beak06,NONE,hat22,clothes70,bkg01--body01--cheeks13--Eye10--Beak06--NONE--hat22--clothes70
4582,bkg05,body01,cheeks10,Eye21,Beak04,NONE,hat15,clothes55,bkg05--body01--cheeks10--Eye21--Beak04--NONE--hat15--clothes55
4583,bkg03,body01,cheeks08,Eye21,Beak11,NONE,hat45,clothes20,bkg03--body01--cheeks08--Eye21--Beak11--NONE--hat45--clothes20
4584,bkg04,body01,cheeks03,Eye26,Beak06,face05,NONE,clothes19,bkg04--body01--cheeks03--Eye26--Beak06--face05--NONE--clothes19
4585,bkg01,body01,cheeks04,Eye03,Beak09,NONE,hat05,clothes64,bkg01--body01--cheeks04--Eye03--Beak09--NONE--hat05--clothes64
4586,bkg05,body01,NONE,Eye23,Beak13,face01,hat10,NONE,bkg05--body01--NONE--Eye23--Beak13--face01--hat10--NONE
4587,bkg04,body01,NONE,Eye20,Beak08,NONE,hat05,clothes69,bkg04--body01--NONE--Eye20--Beak08--NONE--hat05--clothes69
4588,bkg02,body01,cheeks09,Eye12,Beak10,NONE,hat05,clothes74,bkg02--body01--cheeks09--Eye12--Beak10--NONE--hat05--clothes74
4589,bkg07,body01,NONE,Eye11,Beak09,face01,hat70,NONE,bkg07--body01--NONE--Eye11--Beak09--face01--hat70--NONE
4590,bkg02,body01,NONE,Eye20,Beak05,NONE,hat07,NONE,bkg02--body01--NONE--Eye20--Beak05--NONE--hat07--NONE
4591,bkg03,body01,cheeks07,Eye26,Beak10,NONE,hat02,clothes66,bkg03--body01--cheeks07--Eye26--Beak10--NONE--hat02--clothes66
4592,bkg05,body01,cheeks13,Eye16,Beak04,NONE,hat66,clothes01,bkg05--body01--cheeks13--Eye16--Beak04--NONE--hat66--clothes01
4593,bkg07,body01,cheeks07,Eye03,Beak11,face01,hat24,clothes34,bkg07--body01--cheeks07--Eye03--Beak11--face01--hat24--clothes34
4594,bkg01,body01,cheeks04,Eye07,Beak10,NONE,hat55,clothes56,bkg01--body01--cheeks04--Eye07--Beak10--NONE--hat55--clothes56
4595,bkg07,body01,cheeks12,Eye07,Beak12,NONE,hat72,clothes14,bkg07--body01--cheeks12--Eye07--Beak12--NONE--hat72--clothes14
4596,bkg05,body01,cheeks04,Eye21,Beak09,NONE,hat11,clothes27,bkg05--body01--cheeks04--Eye21--Beak09--NONE--hat11--clothes27
4597,bkg04,body01,cheeks12,Eye02,Beak05,NONE,NONE,clothes27,bkg04--body01--cheeks12--Eye02--Beak05--NONE--NONE--clothes27
4598,bkg03,body01,cheeks11,Eye02,Beak06,NONE,NONE,NONE,bkg03--body01--cheeks11--Eye02--Beak06--NONE--NONE--NONE
4599,bkg07,body01,cheeks10,Eye30,Beak08,face05,hat39,clothes57,bkg07--body01--cheeks10--Eye30--Beak08--face05--hat39--clothes57
4600,bkg07,body01,cheeks06,Eye07,Beak03,NONE,hat52,clothes72,bkg07--body01--cheeks06--Eye07--Beak03--NONE--hat52--clothes72
4601,bkg03,body01,cheeks08,Eye12,Beak11,NONE,hat45,clothes13,bkg03--body01--cheeks08--Eye12--Beak11--NONE--hat45--clothes13
4602,bkg05,body01,cheeks13,Eye15,Beak04,NONE,hat24,clothes49,bkg05--body01--cheeks13--Eye15--Beak04--NONE--hat24--clothes49
4603,bkg06,body01,cheeks07,Eye07,Beak06,NONE,hat17,clothes15,bkg06--body01--cheeks07--Eye07--Beak06--NONE--hat17--clothes15
4604,bkg03,body01,cheeks12,Eye25,Beak02,NONE,hat58,NONE,bkg03--body01--cheeks12--Eye25--Beak02--NONE--hat58--NONE
4605,bkg04,body01,cheeks06,Eye30,Beak10,face01,hat11,clothes16,bkg04--body01--cheeks06--Eye30--Beak10--face01--hat11--clothes16
4606,bkg02,body01,cheeks05,Eye16,Beak02,NONE,hat70,clothes29,bkg02--body01--cheeks05--Eye16--Beak02--NONE--hat70--clothes29
4607,bkg04,body01,cheeks12,Eye03,Beak03,NONE,NONE,clothes82,bkg04--body01--cheeks12--Eye03--Beak03--NONE--NONE--clothes82
4608,bkg04,body01,cheeks09,Eye07,Beak03,face04,hat09,clothes72,bkg04--body01--cheeks09--Eye07--Beak03--face04--hat09--clothes72
4609,bkg04,body01,cheeks07,Eye01,Beak06,face06,hat30,clothes58,bkg04--body01--cheeks07--Eye01--Beak06--face06--hat30--clothes58
4610,bkg03,body01,cheeks11,Eye22,Beak08,NONE,hat38,clothes14,bkg03--body01--cheeks11--Eye22--Beak08--NONE--hat38--clothes14
4611,bkg05,body01,cheeks07,Eye30,Beak11,face04,hat04,clothes49,bkg05--body01--cheeks07--Eye30--Beak11--face04--hat04--clothes49
4612,bkg03,body01,NONE,Eye23,Beak10,face01,hat14,clothes77,bkg03--body01--NONE--Eye23--Beak10--face01--hat14--clothes77
4613,bkg05,body01,cheeks10,Eye29,Beak07,face10,hat76,clothes61,bkg05--body01--cheeks10--Eye29--Beak07--face10--hat76--clothes61
4614,bkg06,body01,NONE,Eye19,Beak07,face01,hat20,clothes58,bkg06--body01--NONE--Eye19--Beak07--face01--hat20--clothes58
4615,bkg02,body01,cheeks04,Eye12,Beak08,NONE,hat31,clothes16,bkg02--body01--cheeks04--Eye12--Beak08--NONE--hat31--clothes16
4616,bkg03,body01,cheeks06,Eye02,Beak08,face03,hat26,clothes78,bkg03--body01--cheeks06--Eye02--Beak08--face03--hat26--clothes78
4617,bkg01,body01,cheeks08,Eye05,Beak12,face01,hat30,clothes28,bkg01--body01--cheeks08--Eye05--Beak12--face01--hat30--clothes28
4618,bkg03,body01,cheeks06,Eye17,Beak11,NONE,hat81,clothes15,bkg03--body01--cheeks06--Eye17--Beak11--NONE--hat81--clothes15
4619,bkg01,body01,NONE,Eye06,Beak01,face01,hat22,clothes65,bkg01--body01--NONE--Eye06--Beak01--face01--hat22--clothes65
4620,bkg01,body01,NONE,Eye09,Beak11,NONE,hat61,clothes46,bkg01--body01--NONE--Eye09--Beak11--NONE--hat61--clothes46
4621,bkg05,body01,cheeks08,Eye03,Beak08,face05,hat08,clothes10,bkg05--body01--cheeks08--Eye03--Beak08--face05--hat08--clothes10
4622,bkg05,body01,NONE,Eye16,Beak01,NONE,hat25,clothes24,bkg05--body01--NONE--Eye16--Beak01--NONE--hat25--clothes24
4623,bkg07,body01,cheeks07,Eye03,Beak11,NONE,NONE,clothes64,bkg07--body01--cheeks07--Eye03--Beak11--NONE--NONE--clothes64
4624,bkg06,body01,cheeks05,Eye17,Beak04,face01,NONE,clothes03,bkg06--body01--cheeks05--Eye17--Beak04--face01--NONE--clothes03
4625,bkg03,body01,cheeks12,Eye16,Beak01,face01,hat29,clothes62,bkg03--body01--cheeks12--Eye16--Beak01--face01--hat29--clothes62
4626,bkg07,body01,cheeks06,Eye03,Beak06,NONE,hat15,clothes82,bkg07--body01--cheeks06--Eye03--Beak06--NONE--hat15--clothes82
4627,bkg05,body01,cheeks10,Eye01,Beak12,NONE,hat51,clothes64,bkg05--body01--cheeks10--Eye01--Beak12--NONE--hat51--clothes64
4628,bkg07,body01,cheeks12,Eye15,Beak04,face07,hat05,clothes63,bkg07--body01--cheeks12--Eye15--Beak04--face07--hat05--clothes63
4629,bkg02,body01,NONE,Eye14,Beak06,NONE,hat28,clothes18,bkg02--body01--NONE--Eye14--Beak06--NONE--hat28--clothes18
4630,bkg05,body01,cheeks12,Eye01,Beak10,NONE,hat13,clothes74,bkg05--body01--cheeks12--Eye01--Beak10--NONE--hat13--clothes74
4631,bkg01,body01,NONE,Eye12,Beak03,face01,NONE,clothes33,bkg01--body01--NONE--Eye12--Beak03--face01--NONE--clothes33
4632,bkg05,body01,cheeks05,Eye15,Beak06,NONE,hat38,NONE,bkg05--body01--cheeks05--Eye15--Beak06--NONE--hat38--NONE
4633,bkg04,body01,cheeks05,Eye11,Beak10,face01,hat02,clothes49,bkg04--body01--cheeks05--Eye11--Beak10--face01--hat02--clothes49
4634,bkg07,body01,NONE,Eye24,Beak04,NONE,hat54,clothes59,bkg07--body01--NONE--Eye24--Beak04--NONE--hat54--clothes59
4635,bkg02,body01,cheeks05,Eye11,Beak03,NONE,hat32,clothes36,bkg02--body01--cheeks05--Eye11--Beak03--NONE--hat32--clothes36
4636,bkg01,body01,NONE,Eye02,Beak10,NONE,hat03,clothes24,bkg01--body01--NONE--Eye02--Beak10--NONE--hat03--clothes24
4637,bkg07,body01,cheeks12,Eye08,Beak12,face07,hat35,clothes06,bkg07--body01--cheeks12--Eye08--Beak12--face07--hat35--clothes06
4638,bkg07,body01,NONE,Eye30,Beak09,NONE,hat14,clothes49,bkg07--body01--NONE--Eye30--Beak09--NONE--hat14--clothes49
4639,bkg02,body01,cheeks10,Eye01,Beak08,face01,hat09,clothes17,bkg02--body01--cheeks10--Eye01--Beak08--face01--hat09--clothes17
4640,bkg01,body01,NONE,Eye21,Beak06,NONE,hat37,clothes21,bkg01--body01--NONE--Eye21--Beak06--NONE--hat37--clothes21
4641,bkg03,body01,cheeks08,Eye04,Beak03,NONE,hat47,clothes38,bkg03--body01--cheeks08--Eye04--Beak03--NONE--hat47--clothes38
4642,bkg06,body01,NONE,Eye05,Beak01,NONE,hat77,clothes24,bkg06--body01--NONE--Eye05--Beak01--NONE--hat77--clothes24
4643,bkg02,body01,cheeks13,Eye17,Beak01,NONE,hat71,clothes77,bkg02--body01--cheeks13--Eye17--Beak01--NONE--hat71--clothes77
4644,bkg01,body01,cheeks02,Eye04,Beak11,face01,hat44,clothes23,bkg01--body01--cheeks02--Eye04--Beak11--face01--hat44--clothes23
4645,bkg04,body01,cheeks11,Eye02,Beak04,NONE,hat52,NONE,bkg04--body01--cheeks11--Eye02--Beak04--NONE--hat52--NONE
4646,bkg07,body01,cheeks10,Eye03,Beak02,face01,hat38,NONE,bkg07--body01--cheeks10--Eye03--Beak02--face01--hat38--NONE
4647,bkg01,body01,cheeks10,Eye02,Beak09,NONE,hat44,clothes72,bkg01--body01--cheeks10--Eye02--Beak09--NONE--hat44--clothes72
4648,bkg06,body01,cheeks13,Eye03,Beak12,NONE,hat14,clothes30,bkg06--body01--cheeks13--Eye03--Beak12--NONE--hat14--clothes30
4649,bkg05,body01,cheeks08,Eye03,Beak07,NONE,hat57,clothes07,bkg05--body01--cheeks08--Eye03--Beak07--NONE--hat57--clothes07
4650,bkg01,body01,cheeks08,Eye30,Beak06,NONE,hat76,clothes56,bkg01--body01--cheeks08--Eye30--Beak06--NONE--hat76--clothes56
4651,bkg04,body01,cheeks13,Eye06,Beak04,face07,hat76,clothes73,bkg04--body01--cheeks13--Eye06--Beak04--face07--hat76--clothes73
4652,bkg05,body01,cheeks06,Eye06,Beak10,NONE,NONE,clothes41,bkg05--body01--cheeks06--Eye06--Beak10--NONE--NONE--clothes41
4653,bkg07,body01,cheeks07,Eye04,Beak04,NONE,hat17,clothes67,bkg07--body01--cheeks07--Eye04--Beak04--NONE--hat17--clothes67
4654,bkg06,body01,cheeks13,Eye03,Beak09,NONE,hat09,clothes43,bkg06--body01--cheeks13--Eye03--Beak09--NONE--hat09--clothes43
4655,bkg04,body01,cheeks10,Eye10,Beak01,NONE,hat62,clothes74,bkg04--body01--cheeks10--Eye10--Beak01--NONE--hat62--clothes74
4656,bkg07,body01,NONE,Eye15,Beak05,NONE,hat69,clothes01,bkg07--body01--NONE--Eye15--Beak05--NONE--hat69--clothes01
4657,bkg07,body01,cheeks02,Eye18,Beak09,face04,hat57,clothes64,bkg07--body01--cheeks02--Eye18--Beak09--face04--hat57--clothes64
4658,bkg02,body01,cheeks11,Eye01,Beak04,NONE,hat50,clothes72,bkg02--body01--cheeks11--Eye01--Beak04--NONE--hat50--clothes72
4659,bkg04,body01,cheeks10,Eye16,Beak11,face01,hat21,clothes07,bkg04--body01--cheeks10--Eye16--Beak11--face01--hat21--clothes07
4660,bkg01,body01,cheeks04,Eye02,Beak10,NONE,hat11,clothes28,bkg01--body01--cheeks04--Eye02--Beak10--NONE--hat11--clothes28
4661,bkg02,body01,cheeks13,Eye28,Beak12,NONE,hat57,clothes64,bkg02--body01--cheeks13--Eye28--Beak12--NONE--hat57--clothes64
4662,bkg01,body01,cheeks04,Eye22,Beak01,face01,hat69,clothes23,bkg01--body01--cheeks04--Eye22--Beak01--face01--hat69--clothes23
4663,bkg02,body01,cheeks04,Eye07,Beak07,face03,hat22,clothes75,bkg02--body01--cheeks04--Eye07--Beak07--face03--hat22--clothes75
4664,bkg01,body01,cheeks04,Eye02,Beak01,NONE,hat06,clothes05,bkg01--body01--cheeks04--Eye02--Beak01--NONE--hat06--clothes05
4665,bkg04,body01,cheeks13,Eye16,Beak13,NONE,hat53,clothes24,bkg04--body01--cheeks13--Eye16--Beak13--NONE--hat53--clothes24
4666,bkg07,body01,NONE,Eye11,Beak11,NONE,hat70,clothes31,bkg07--body01--NONE--Eye11--Beak11--NONE--hat70--clothes31
4667,bkg05,body01,cheeks07,Eye01,Beak10,NONE,hat10,clothes13,bkg05--body01--cheeks07--Eye01--Beak10--NONE--hat10--clothes13
4668,bkg07,body01,cheeks1,Eye06,Beak03,face07,hat51,clothes11,bkg07--body01--cheeks1--Eye06--Beak03--face07--hat51--clothes11
4669,bkg03,body01,cheeks05,Eye14,Beak12,NONE,hat43,clothes16,bkg03--body01--cheeks05--Eye14--Beak12--NONE--hat43--clothes16
4670,bkg04,body01,cheeks04,Eye10,Beak03,NONE,hat77,clothes82,bkg04--body01--cheeks04--Eye10--Beak03--NONE--hat77--clothes82
4671,bkg01,body01,cheeks13,Eye01,Beak12,NONE,hat75,clothes82,bkg01--body01--cheeks13--Eye01--Beak12--NONE--hat75--clothes82
4672,bkg05,body01,cheeks13,Eye02,Beak04,NONE,hat69,clothes44,bkg05--body01--cheeks13--Eye02--Beak04--NONE--hat69--clothes44
4673,bkg06,body01,cheeks08,Eye20,Beak07,NONE,hat27,clothes19,bkg06--body01--cheeks08--Eye20--Beak07--NONE--hat27--clothes19
4674,bkg05,body01,cheeks05,Eye25,Beak07,face03,hat77,clothes37,bkg05--body01--cheeks05--Eye25--Beak07--face03--hat77--clothes37
4675,bkg03,body01,cheeks06,Eye07,Beak05,face04,hat12,clothes65,bkg03--body01--cheeks06--Eye07--Beak05--face04--hat12--clothes65
4676,bkg06,body01,cheeks11,Eye24,Beak02,NONE,hat10,clothes57,bkg06--body01--cheeks11--Eye24--Beak02--NONE--hat10--clothes57
4677,bkg07,body01,cheeks07,Eye08,Beak05,face04,hat58,clothes36,bkg07--body01--cheeks07--Eye08--Beak05--face04--hat58--clothes36
4678,bkg07,body01,cheeks05,Eye23,Beak01,NONE,NONE,clothes06,bkg07--body01--cheeks05--Eye23--Beak01--NONE--NONE--clothes06
4679,bkg01,body01,cheeks11,Eye18,Beak11,NONE,hat01,clothes27,bkg01--body01--cheeks11--Eye18--Beak11--NONE--hat01--clothes27
4680,bkg06,body01,cheeks04,Eye05,Beak04,NONE,hat25,clothes11,bkg06--body01--cheeks04--Eye05--Beak04--NONE--hat25--clothes11
4681,bkg05,body01,cheeks13,Eye07,Beak12,NONE,hat01,clothes40,bkg05--body01--cheeks13--Eye07--Beak12--NONE--hat01--clothes40
4682,bkg03,body01,cheeks1,Eye08,Beak02,face10,hat34,clothes61,bkg03--body01--cheeks1--Eye08--Beak02--face10--hat34--clothes61
4683,bkg07,body01,cheeks07,Eye27,Beak12,NONE,hat22,clothes53,bkg07--body01--cheeks07--Eye27--Beak12--NONE--hat22--clothes53
4684,bkg01,body01,cheeks10,Eye01,Beak04,face01,hat79,clothes63,bkg01--body01--cheeks10--Eye01--Beak04--face01--hat79--clothes63
4685,bkg07,body01,cheeks06,Eye19,Beak07,face05,hat66,clothes10,bkg07--body01--cheeks06--Eye19--Beak07--face05--hat66--clothes10
4686,bkg04,body01,NONE,Eye12,Beak11,NONE,hat83,clothes31,bkg04--body01--NONE--Eye12--Beak11--NONE--hat83--clothes31
4687,bkg04,body01,cheeks05,Eye14,Beak07,face01,hat60,clothes57,bkg04--body01--cheeks05--Eye14--Beak07--face01--hat60--clothes57
4688,bkg06,body01,cheeks13,Eye01,Beak11,face07,hat07,clothes39,bkg06--body01--cheeks13--Eye01--Beak11--face07--hat07--clothes39
4689,bkg01,body01,cheeks1,Eye18,Beak07,face07,hat19,NONE,bkg01--body01--cheeks1--Eye18--Beak07--face07--hat19--NONE
4690,bkg01,body01,cheeks02,Eye27,Beak09,face01,hat69,clothes28,bkg01--body01--cheeks02--Eye27--Beak09--face01--hat69--clothes28
4691,bkg06,body01,cheeks10,Eye24,Beak09,NONE,hat76,clothes18,bkg06--body01--cheeks10--Eye24--Beak09--NONE--hat76--clothes18
4692,bkg06,body01,cheeks10,Eye16,Beak07,face10,hat08,clothes14,bkg06--body01--cheeks10--Eye16--Beak07--face10--hat08--clothes14
4693,bkg01,body01,NONE,Eye09,Beak12,face01,hat10,clothes82,bkg01--body01--NONE--Eye09--Beak12--face01--hat10--clothes82
4694,bkg04,body01,cheeks1,Eye01,Beak02,face10,hat17,clothes62,bkg04--body01--cheeks1--Eye01--Beak02--face10--hat17--clothes62
4695,bkg01,body01,cheeks12,Eye10,Beak07,face03,hat18,clothes20,bkg01--body01--cheeks12--Eye10--Beak07--face03--hat18--clothes20
4696,bkg05,body01,cheeks1,Eye06,Beak09,face06,NONE,clothes10,bkg05--body01--cheeks1--Eye06--Beak09--face06--NONE--clothes10
4697,bkg03,body01,cheeks13,Eye04,Beak04,NONE,hat25,clothes69,bkg03--body01--cheeks13--Eye04--Beak04--NONE--hat25--clothes69
4698,bkg04,body01,cheeks05,Eye02,Beak06,NONE,NONE,clothes01,bkg04--body01--cheeks05--Eye02--Beak06--NONE--NONE--clothes01
4699,bkg04,body01,cheeks07,Eye25,Beak12,face05,hat35,clothes41,bkg04--body01--cheeks07--Eye25--Beak12--face05--hat35--clothes41
4700,bkg01,body01,cheeks10,Eye12,Beak04,NONE,hat58,NONE,bkg01--body01--cheeks10--Eye12--Beak04--NONE--hat58--NONE
4701,bkg06,body01,NONE,Eye16,Beak12,face01,hat23,clothes68,bkg06--body01--NONE--Eye16--Beak12--face01--hat23--clothes68
4702,bkg07,body01,cheeks08,Eye23,Beak07,face10,hat32,clothes66,bkg07--body01--cheeks08--Eye23--Beak07--face10--hat32--clothes66
